unnamed_0,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5
A,Alternative Baseline Surveys,,,,
B,Potential Direct Corelating Data Points,,,,
C,Potential Indirect (Enablers or Proxies) Corelating Data Points,,,,
D,Naunces and Market Contexts,,,,
B,Potential Direct Corelating Data Points,Expected correlation,Why it matters,Typical sources,Notes
1,"Active mobile money accounts per 1,000 adults",Positive,Activity (not just registration) captures real usage and stickiness of DFS. FAS tracks registered vs. active accounts.,IMF FAS,
2,Share making/receiving digital payments,Positive,"Signals mainstreamization of digital tools and deeper usage beyond account opening. Ethiopia’s usage lags peers, important for targeting.",Global Findex,
3,Agents Distribution (Unique Agent Distribution),Positive,Signals the extent of redudancies in Agent activities accross different locations,https://combanketh.et/ways-of-banking/network/cbebirr-agents,
,,,,https://dashenbanksc.com/wp-content/uploads/Total-number-of-Agent-list.pdf,
,,,,https://dashenbanksc.com/wp-content/uploads/Agent-list-ended-Dec-312025.pdf,
,,,,https://www.awashbank.com/wp-content/uploads/2025/02/Agents-List-1.pdf,
,,,,https://anbesabank.com/agent-list/,
,,,,https://coopbankoromia.com.et/wp-content/uploads/2022/11/COOPay-Ebirr-Agent-Web.xlsx,
3,"Registered mobile money accounts per 1,000 adults",Positive,Measures access and market reach of mobile money services. High registration signals availability.,"GSMA, NBE",
4,Percentage of adults with a digital financial account,Positive,"Captures formal financial inclusion, including banks and mobile money.",Global Findex,
5,Average digital transactions per active user per month,Positive,"Reflects depth of usage and customer engagement, not just access. Higher frequency indicates habit formation, trust, and product relevance.",NBE,
6,Mobile money transaction volume per capita,Positive,Shows how intensively digital finance is used across the population,NBE,
7,Mobile money transaction value per capita,Positive,"Complements transaction volume by capturing economic significance, not just frequency.",NBE,
8,Percentage of P2P transfers per digital transactions,Positive,"Indicates whether DFS usage is narrow (mainly remittances) or diversified. High P2P dominance can signal early-stage ecosystems, while declining shares suggest growth in merchant, bill, and government payments.","GSMA, NBE",
9,"POS terminals per 100,000 adults",Positive,Measures physical acceptance infrastructure for digital payments.,Ethswitch,
10,"QR-code–enabled merchants per 1,000 adults",Positive,"Tracks low-cost, scalable merchant acceptance, especially important in low-income and informal markets.",Ethswitch,
11,Merchants accepting digital payments (%),Positive,"Shows two-sided market health. Without merchant acceptance, consumer adoption stacks; this metric reflects real opportunities to spend digitally, not just send money.",Global Findex,
12,"ATM density per 100,000 adults",Positive,Signals cash-in/cash-out access and the strength of the legacy banking interface.,Ethswitch,
13,"Bank branches per 100,000 adults",Positive,"Reflects traditional financial infrastructure depth. Important for understanding geographic access gaps, cost structures, and where digital channels must compensate for limited physical presence.","Ethswitch, NBE",
14,Unbanked adults using mobile money (%),Positive,Measures the inclusion impact of mobile money beyond banks.,Global Findex,
